Target,Model,F1_Class_0,F1_Class_1,Precision,Accuracy,Recall,AUC_ROC
Type_of_Food_Allergy_Aromatics,RandomForest,0.9608248796741948,0.04,0.8756318407607561,0.9251012145748989,0.03333333333333333,0.744212962962963
Type_of_Food_Allergy_Aromatics,XGBoost,0.947439987740007,0.17333333333333334,0.8935731905537999,0.9016869095816464,0.15,0.7592592592592593
Type_of_Food_Allergy_Aromatics,LogisticRegression,0.9296413641667355,0.14357142857142857,0.8856905915884244,0.870715249662618,0.18333333333333332,0.7171296296296296
Type_of_Food_Allergy_Aromatics,SVM,0.8260916040979399,0.13996591643650466,0.8872154731184942,0.7123481781376517,0.36666666666666664,0.6351851851851852
Type_of_Food_Allergy_Cereals_&_Seeds,RandomForest,0.9706638217164534,0.0,0.9136858223103694,0.9431174089068826,0.0,0.43384009009009006
Type_of_Food_Allergy_Cereals_&_Seeds,XGBoost,0.9523059360730592,0.0,0.9120379674673303,0.9095816464237515,0.0,0.4016516516516517
Type_of_Food_Allergy_Cereals_&_Seeds,LogisticRegression,0.935505992548246,0.08666666666666667,0.9219360429731946,0.8805668016194333,0.2,0.4336336336336336
Type_of_Food_Allergy_Cereals_&_Seeds,SVM,0.9037834406224377,0.06857142857142857,0.9147942006947025,0.8265182186234817,0.15,0.3957582582582583
Type_of_Food_Allergy_Egg,RandomForest,0.9427936083566367,0.15,0.8755563224290427,0.8936572199730095,0.13333333333333333,0.6691269841269841
Type_of_Food_Allergy_Egg,XGBoost,0.9370598003694892,0.155,0.8711603556263,0.883468286099865,0.16666666666666666,0.6938359788359788
Type_of_Food_Allergy_Egg,LogisticRegression,0.916659074191686,0.22603174603174603,0.8795550658921402,0.850067476383266,0.26666666666666666,0.6274603174603174
Type_of_Food_Allergy_Egg,SVM,0.9077870179412111,0.19895104895104895,0.8789227502078296,0.8367071524966262,0.2333333333333333,0.5953968253968254
Type_of_Food_Allergy_Fish,RandomForest,0.9627748406602352,0.3871428571428571,0.9153548438243728,0.9300944669365722,0.3333333333333333,0.7351719576719578
Type_of_Food_Allergy_Fish,XGBoost,0.956795716087632,0.4152380952380953,0.9161506981243821,0.9197031039136302,0.36666666666666664,0.741031746031746
Type_of_Food_Allergy_Fish,LogisticRegression,0.9076463328344182,0.2415079365079365,0.8818320830203277,0.8371794871794871,0.3333333333333333,0.6347354497354497
Type_of_Food_Allergy_Fish,SVM,0.8650905679241891,0.153010878010878,0.8626047755125104,0.7722672064777327,0.2333333333333333,0.5847619047619047
Type_of_Food_Allergy_Fruits_and_Vegetables,RandomForest,0.8826172322018937,0.2697979797979798,0.7633739827547876,0.7980431848852901,0.2214285714285714,0.6586633544546852
Type_of_Food_Allergy_Fruits_and_Vegetables,XGBoost,0.8766077096825384,0.27454212454212457,0.7627394866452841,0.7900134952766531,0.23571428571428568,0.6096078149001536
Type_of_Food_Allergy_Fruits_and_Vegetables,LogisticRegression,0.8314240070274552,0.257002442002442,0.7403529012482186,0.7275978407557355,0.28095238095238095,0.628168202764977
Type_of_Food_Allergy_Fruits_and_Vegetables,SVM,0.7269124921873026,0.35226534640327745,0.7688769026862543,0.6192307692307693,0.588095238095238,0.628312211981567
Type_of_Food_Allergy_Mammalian_Milk,RandomForest,0.9701882408724515,0.2333333333333333,0.920999542872545,0.942914979757085,0.2,0.7624687187187188
Type_of_Food_Allergy_Mammalian_Milk,XGBoost,0.9584161681932745,0.28047619047619043,0.9232767343007875,0.9221322537112011,0.3,0.7304429429429429
Type_of_Food_Allergy_Mammalian_Milk,LogisticRegression,0.9381641355447025,0.2319047619047619,0.9164556978179268,0.8856950067476383,0.25,0.6832332332332333
Type_of_Food_Allergy_Mammalian_Milk,SVM,0.8860476258493858,0.12079365079365079,0.8983086796593506,0.7999325236167342,0.21666666666666665,0.5212962962962963
Type_of_Food_Allergy_Oral_Syndrom,RandomForest,0.9802805723228258,0.7588095238095238,0.9654744319218004,0.963630229419703,0.6666666666666666,0.9905777310924371
Type_of_Food_Allergy_Oral_Syndrom,XGBoost,1.0,1.0,1.0,1.0,1.0,1.0
Type_of_Food_Allergy_Oral_Syndrom,LogisticRegression,0.8940269616834433,0.23701298701298698,0.8507558187250579,0.8164642375168691,0.31666666666666665,0.6590756302521009
Type_of_Food_Allergy_Oral_Syndrom,SVM,0.7267512102730923,0.18811533665080576,0.8420797302764452,0.5958839406207828,0.5,0.5966666666666667
Type_of_Food_Allergy_Other_Legumes,RandomForest,0.9478718582423001,0.0,0.8489702025207032,0.9013495276653171,0.0,0.6398412698412699
Type_of_Food_Allergy_Other_Legumes,XGBoost,0.9391327726944165,0.06666666666666667,0.8574096363570046,0.8859649122807017,0.06666666666666667,0.5533862433862434
Type_of_Food_Allergy_Other_Legumes,LogisticRegression,0.8971726070625691,0.07079365079365078,0.8532257743616102,0.8162618083670715,0.1,0.4314550264550264
Type_of_Food_Allergy_Other_Legumes,SVM,0.7768096125594195,0.12975133913214407,0.8570385651074715,0.6480431848852901,0.3333333333333333,0.4792328042328043
Type_of_Food_Allergy_Peanut,RandomForest,0.8890536588654694,0.19985569985569987,0.7751116167370038,0.8060053981106613,0.16333333333333333,0.6600047348484848
Type_of_Food_Allergy_Peanut,XGBoost,0.8840672889731943,0.15773115773115773,0.7621544210108452,0.798110661268556,0.14999999999999997,0.6782575757575758
Type_of_Food_Allergy_Peanut,LogisticRegression,0.855129175530448,0.26608391608391607,0.7820746923784849,0.7589068825910932,0.29666666666666663,0.6446306818181818
Type_of_Food_Allergy_Peanut,SVM,0.8140114705499186,0.2527407233289586,0.7750051502159441,0.7049257759784077,0.35000000000000003,0.5907765151515151
Type_of_Food_Allergy_Shellfish,RandomForest,0.9594144555514419,0.05,0.8746101704976624,0.922267206477733,0.03333333333333333,0.5843849206349206
Type_of_Food_Allergy_Shellfish,XGBoost,0.9500918061745768,0.23333333333333334,0.9015457964814955,0.9065452091767883,0.21666666666666665,0.6359920634920635
Type_of_Food_Allergy_Shellfish,LogisticRegression,0.8978278077177697,0.08666666666666666,0.8714000500876636,0.8184885290148447,0.14999999999999997,0.5184788359788359
Type_of_Food_Allergy_Shellfish,SVM,0.8533456401592797,0.20697913197913195,0.8922103878407104,0.7541835357624832,0.4333333333333333,0.6400264550264552
Type_of_Food_Allergy_TPO,RandomForest,0.9678135583312224,0.0,0.8890594539859402,0.9379217273954117,0.0,0.462743993993994
Type_of_Food_Allergy_TPO,XGBoost,0.9531538731360824,0.0,0.8871825284720585,0.9121457489878543,0.0,0.5221221221221221
Type_of_Food_Allergy_TPO,LogisticRegression,0.9168544138704103,0.09583333333333333,0.8947529348743923,0.8524966261808368,0.13333333333333333,0.5379754754754755
Type_of_Food_Allergy_TPO,SVM,0.8779845765828946,0.1405982905982906,0.9036074444935425,0.7875168690958165,0.3,0.6246746746746747
Type_of_Food_Allergy_Tree_Nuts,RandomForest,0.8304877152391359,0.2604341736694678,0.6981771398459703,0.7252361673414305,0.2,0.6592209450830141
Type_of_Food_Allergy_Tree_Nuts,XGBoost,0.8304421432659469,0.4378050329443518,0.7403618926386354,0.7410256410256412,0.4155555555555555,0.7172286079182632
Type_of_Food_Allergy_Tree_Nuts,LogisticRegression,0.7935178896932193,0.3753730092688903,0.702938176683116,0.6921727395411605,0.3833333333333334,0.6821072796934866
Type_of_Food_Allergy_Tree_Nuts,SVM,0.7104704023834458,0.4413526570048309,0.7190148032938759,0.621255060728745,0.6166666666666666,0.6295913154533844
