Target,Model,F1_Class_0,F1_Class_1,Precision,Accuracy,Recall,AUC_ROC
Allergy_Present,RandomForest,0.9400076342024443,0.9448922361194114,0.9432430487212151,0.9425748287053732,0.9398373983739837,0.981794232370263
Allergy_Present,XGBoost,0.9385946650309023,0.9413584980894933,0.9414400449014568,0.9400198341146773,0.9203252032520325,0.975914184473703
Allergy_Present,LogisticRegression,0.9402099399264475,0.9414935088536847,0.9436559968758482,0.9408781103498016,0.9113821138211382,0.9786801851109536
Allergy_Present,SVM,0.8598057117914296,0.8458268848633697,0.867553311964836,0.853245582401731,0.7723577235772358,0.9411421556535414
Respiratory_Allergy,RandomForest,0.9611826628804856,0.9529556056232945,0.9580076932925545,0.9574792643346557,0.9510756480338565,0.9869118890060473
Respiratory_Allergy,XGBoost,0.9543978737439482,0.9431372495762291,0.9500709018377517,0.9494013703570141,0.9284782225357079,0.9854397135518118
Respiratory_Allergy,LogisticRegression,0.9308184638818287,0.9131850587527708,0.9235554796806043,0.9230183916336099,0.896473285134897,0.9700775202341848
Respiratory_Allergy,SVM,0.8531041365131099,0.811653962461232,0.8354335077849985,0.8349891813919941,0.78743607829307,0.9091027731529515
Food_Allergy,RandomForest,0.9222878270624255,0.8739003499878933,0.9043998123774546,0.9038658492607284,0.8779775280898876,0.962290753115054
Food_Allergy,XGBoost,0.920767887161691,0.8676084064880909,0.9008263809725813,0.9008889289578075,0.8568039950062423,0.9569938798750026
Food_Allergy,LogisticRegression,0.8885932320691969,0.8189554768656141,0.8633993390917857,0.8621673278038227,0.8198377028714109,0.9215525792334454
Food_Allergy,SVM,0.8452850381732633,0.7544980106289015,0.8121274501427151,0.8102957086188244,0.7672908863920099,0.8829788679361001
Venom_Allergy,RandomForest,0.989166442825171,0.7223669467787115,0.9782607125336054,0.9791579516768841,0.6677777777777777,0.9542713864306785
Venom_Allergy,XGBoost,0.9906901435916925,0.7764267620923968,0.9819498618324982,0.9821330688784708,0.7711111111111111,0.9512725663716814
Venom_Allergy,LogisticRegression,0.9542540438661344,0.3347066771470698,0.948815593871057,0.9145131626397403,0.5388888888888888,0.8160660766961652
Venom_Allergy,SVM,0.9014623109223878,0.21872201206951125,0.9443694730529245,0.8251803101334294,0.5888888888888889,0.7936481809242871
