Target,Model,F1_Class_0,F1_Class_1,Precision,Accuracy,Recall,AUC_ROC
Type_of_Food_Allergy_Aromatics,RandomForest,0.9886613483072153,0.06666666666666667,0.9661789523395381,0.9776404494382023,0.1,0.8009273772204806
Type_of_Food_Allergy_Aromatics,XGBoost,0.98745323456757,0.19,0.9727123609675292,0.9754057428214733,0.25,0.7526907001044931
Type_of_Food_Allergy_Aromatics,LogisticRegression,0.966196286588995,0.08318181818181818,0.9683622004805823,0.9350936329588014,0.2,0.7120885579937305
Type_of_Food_Allergy_Aromatics,SVM,0.8871742642564069,0.08683241307383184,0.9736817154935334,0.7998002496878902,0.65,0.7221068443051202
Type_of_Food_Allergy_Cereals_&_Seeds,RandomForest,0.9799983945041039,0.0,0.94028937719225,0.9608364544319601,0.0,0.7197986278178738
Type_of_Food_Allergy_Cereals_&_Seeds,XGBoost,0.9747096791559067,0.0,0.9400102715275633,0.9507490636704119,0.0,0.6871380201372181
Type_of_Food_Allergy_Cereals_&_Seeds,LogisticRegression,0.9491051825178296,0.08318181818181818,0.944672099695483,0.9038077403245943,0.15,0.5341441682259646
Type_of_Food_Allergy_Cereals_&_Seeds,SVM,0.8611882965503698,0.1009184756467365,0.9521988242441768,0.7605493133583022,0.45,0.5535685645549318
Type_of_Food_Allergy_Egg,RandomForest,0.9921093306490374,0.06666666666666667,0.970685123620443,0.9843695380774033,0.1,0.9022727272727271
Type_of_Food_Allergy_Egg,XGBoost,0.9914931775518332,0.35,0.9799997256862131,0.9832584269662922,0.4,0.9335227272727273
Type_of_Food_Allergy_Egg,LogisticRegression,0.975151461578929,0.09333333333333334,0.9726099300872404,0.9519350811485643,0.3,0.7772727272727273
Type_of_Food_Allergy_Egg,SVM,0.9012929202917359,0.05199134199134199,0.9716086754751749,0.8221598002496879,0.3,0.6448863636363636
Type_of_Food_Allergy_Fish,RandomForest,0.9863823501769607,0.0,0.955657151832256,0.9731460674157303,0.0,0.6779127481713689
Type_of_Food_Allergy_Fish,XGBoost,0.9846161101139005,0.06666666666666667,0.9588525831191321,0.9697752808988765,0.05,0.6398968129571577
Type_of_Food_Allergy_Fish,LogisticRegression,0.9600534357903594,0.06666666666666668,0.9589404531848343,0.9239450686641698,0.15,0.550208986415883
Type_of_Food_Allergy_Fish,SVM,0.8624454956053744,0.08382245258327342,0.9626440556307129,0.7615855181023721,0.45,0.6703565830721003
Type_of_Food_Allergy_Fruits_and_Vegetables,RandomForest,0.9747115425995189,0.07333333333333333,0.9278101842648045,0.9508114856429464,0.06666666666666667,0.8438275193798448
Type_of_Food_Allergy_Fruits_and_Vegetables,XGBoost,0.9757337899481779,0.23047619047619045,0.9409081332320491,0.9530337078651685,0.20833333333333331,0.8612870497036024
Type_of_Food_Allergy_Fruits_and_Vegetables,LogisticRegression,0.9554053074022081,0.20028860028860027,0.9395271047822631,0.916167290886392,0.30833333333333335,0.7425227998176015
Type_of_Food_Allergy_Fruits_and_Vegetables,SVM,0.9068864778078245,0.2223882981110064,0.9499083159621206,0.8343570536828964,0.6333333333333333,0.8020816233470134
Type_of_Food_Allergy_Mammalian_Milk,RandomForest,0.9949405043714294,0.0,0.9799876621139928,0.9899375780274658,0.0,
Type_of_Food_Allergy_Mammalian_Milk,XGBoost,0.9926743036232557,0.0,0.9799380004083534,0.9854806491885144,0.0,
Type_of_Food_Allergy_Mammalian_Milk,LogisticRegression,0.9845696546848617,0.0,0.9798211764452294,0.9697378277153559,0.0,
Type_of_Food_Allergy_Mammalian_Milk,SVM,0.9021777145485922,0.0,0.9780435849658641,0.8232334581772784,0.0,
Type_of_Food_Allergy_Oral_Syndrom,RandomForest,0.9848565393365195,0.8815179252479023,0.9742028108214665,0.9731585518102372,0.7954545454545454,0.9989073426573427
Type_of_Food_Allergy_Oral_Syndrom,XGBoost,0.9993548387096775,0.9960000000000001,0.9989743589743589,0.9988888888888889,1.0,0.999465811965812
Type_of_Food_Allergy_Oral_Syndrom,LogisticRegression,0.9058098996106384,0.4118047691660885,0.8468638798750124,0.8379026217228465,0.4431818181818182,0.8055735930735931
Type_of_Food_Allergy_Oral_Syndrom,SVM,0.774071096266419,0.3788858879388415,0.8589676445956165,0.6699625468164794,0.768939393939394,0.7192404817404817
Type_of_Food_Allergy_Other_Legumes,RandomForest,0.9898302920655805,0.0,0.9645566824241234,0.9798876404494381,0.0,0.7299536311389759
Type_of_Food_Allergy_Other_Legumes,XGBoost,0.9892393108383395,0.06666666666666667,0.9662159876371959,0.9787515605493133,0.1,0.6641588296760711
Type_of_Food_Allergy_Other_Legumes,LogisticRegression,0.9728484540227444,0.06857142857142857,0.9667313736949271,0.9474157303370788,0.2,0.5197165621734587
Type_of_Food_Allergy_Other_Legumes,SVM,0.8746623894467979,0.04728448572411421,0.9677186261068927,0.7806367041198502,0.35,0.5754049111807733
Type_of_Food_Allergy_Peanut,RandomForest,0.9535861474140779,0.24532356532356533,0.8940468158966051,0.912721598002497,0.19999999999999996,0.8190126359094917
Type_of_Food_Allergy_Peanut,XGBoost,0.950178693841609,0.3064918414918415,0.8971796327965074,0.9071785268414481,0.27619047619047615,0.8572869876719421
Type_of_Food_Allergy_Peanut,LogisticRegression,0.9259696100237302,0.25372612681436213,0.8875717920010875,0.8657428214731586,0.319047619047619,0.6785497390257895
Type_of_Food_Allergy_Peanut,SVM,0.8377022518686361,0.2781573270023773,0.9019704316373816,0.736916354556804,0.6357142857142858,0.7270146789247581
Type_of_Food_Allergy_Shellfish,RandomForest,0.9846553292801101,0.05,0.9449691447998481,0.969812734082397,0.03333333333333333,0.7830905283792213
Type_of_Food_Allergy_Shellfish,XGBoost,0.9798858101817676,0.2,0.9546568754437079,0.9608739076154806,0.2,0.8007885592087678
Type_of_Food_Allergy_Shellfish,LogisticRegression,0.9606499783599659,0.14299145299145297,0.9500106030341587,0.9250312109862673,0.19999999999999998,0.7110665597433841
Type_of_Food_Allergy_Shellfish,SVM,0.8618566164290717,0.13524280506805422,0.956629008989115,0.763832709113608,0.6,0.7325180433039294
Type_of_Food_Allergy_TPO,RandomForest,0.968476991560588,0.2316666666666667,0.9247440490521456,0.9396004993757803,0.21500000000000002,0.8500644257703082
Type_of_Food_Allergy_TPO,XGBoost,0.9640918749154425,0.26826839826839827,0.9276997750916273,0.9317353308364545,0.26,0.8226974789915967
Type_of_Food_Allergy_TPO,LogisticRegression,0.9535821833545917,0.22298368298368296,0.923069423322546,0.9127340823970039,0.255,0.7879887955182073
Type_of_Food_Allergy_TPO,SVM,0.8872544601245611,0.29104055228636316,0.9433015559958179,0.8064044943820224,0.76,0.8249019607843138
Type_of_Food_Allergy_Tree_Nuts,RandomForest,0.9560047598966672,0.281995781995782,0.8992246509689071,0.9171910112359551,0.2125,0.8458188153310104
Type_of_Food_Allergy_Tree_Nuts,XGBoost,0.9559897280652411,0.4085204991087344,0.9069579419780002,0.9183270911360799,0.37499999999999994,0.8562282229965158
