Target,Model,F1_Class_0,F1_Class_1,Precision,Accuracy,Recall,AUC_ROC
Type_of_Respiratory_Allergy_IGE_Pollen_Herb,RandomForest,0.7659299593346791,0.7081235697470083,0.7456347354559721,0.7412537471345442,0.6900085034013606,0.8438125216057385
Type_of_Respiratory_Allergy_IGE_Pollen_Herb,XGBoost,0.7695256643610315,0.728895208492989,0.7555542391792067,0.7516311056251102,0.7336309523809523,0.8460580715952443
Type_of_Respiratory_Allergy_IGE_Pollen_Herb,LogisticRegression,0.7793120521085661,0.7097934546913801,0.752191485915451,0.7497531299594429,0.6755527210884354,0.8320215949356149
Type_of_Respiratory_Allergy_IGE_Pollen_Herb,SVM,0.7394650827169383,0.6800141557506723,0.7166367184759255,0.7139922412272968,0.6711309523809524,0.7858488585997012
Type_of_Respiratory_Allergy_IGE_Pollen_Tree,RandomForest,0.7998933529002553,0.9317281021819875,0.8980009473243162,0.8983512608005644,0.9387374229146381,0.9353242543907101
Type_of_Respiratory_Allergy_IGE_Pollen_Tree,XGBoost,0.7974984662355564,0.9321072010483338,0.8972200575378853,0.8983777111620526,0.9451314508276534,0.9320739504283807
Type_of_Respiratory_Allergy_IGE_Pollen_Tree,LogisticRegression,0.6510161772678991,0.8744848391362566,0.8176124008146154,0.8155704461294304,0.8724926971762414,0.8584135098375605
Type_of_Respiratory_Allergy_IGE_Pollen_Tree,SVM,0.6663463419217895,0.8310407608303445,0.8337133825381272,0.7761065067889261,0.7500973709834469,0.8905201104568194
Type_of_Respiratory_Allergy_IGE_Dander_Animals,RandomForest,0.783417972134323,0.8531465155937228,0.8267996038393333,0.8250749426908834,0.892568306010929,0.8851984834085689
Type_of_Respiratory_Allergy_IGE_Dander_Animals,XGBoost,0.7618525438294709,0.8378600857441632,0.8086204565637954,0.8072473990477871,0.8745081967213114,0.8649671339193791
Type_of_Respiratory_Allergy_IGE_Dander_Animals,LogisticRegression,0.6910796853885551,0.7363332256440844,0.7281586873271898,0.716857697055193,0.6989617486338797,0.7952817375465272
Type_of_Respiratory_Allergy_IGE_Dander_Animals,SVM,0.7156780517588381,0.7523209986574206,0.7463393528790316,0.735725621583495,0.7089890710382514,0.8254104300308862
Type_of_Respiratory_Allergy_IGE_Mite_Cockroach,RandomForest,0.8130315131613688,0.8655844888138289,0.8464560184534703,0.8439164168576971,0.891412429378531,0.9245571491661309
Type_of_Respiratory_Allergy_IGE_Mite_Cockroach,XGBoost,0.8414496695359939,0.8785868769330836,0.864352804430804,0.8626961735143712,0.8797175141242937,0.9362430946445277
Type_of_Respiratory_Allergy_IGE_Mite_Cockroach,LogisticRegression,0.7954289088682072,0.7988002119100729,0.8222039291497503,0.7976635514018693,0.7193785310734463,0.8859456090562723
Type_of_Respiratory_Allergy_IGE_Mite_Cockroach,SVM,0.7691459603763648,0.7633418656538535,0.7964115705099032,0.7666725445247751,0.6726553672316384,0.8822182196856854
Type_of_Respiratory_Allergy_IGE_Molds_Yeast,RandomForest,0.924508949335493,0.8440668655271288,0.9092333585822672,0.8983336272262388,0.9181451612903224,0.9610034691950015
Type_of_Respiratory_Allergy_IGE_Molds_Yeast,XGBoost,0.9305282916600477,0.8490176568139693,0.9113185487528719,0.9049197672368189,0.8989919354838708,0.9687050820982274
Type_of_Respiratory_Allergy_IGE_Molds_Yeast,LogisticRegression,0.8601885900299016,0.6443177683511638,0.79616269414504,0.7996120613648386,0.6151209677419356,0.8110391601278698
Type_of_Respiratory_Allergy_IGE_Molds_Yeast,SVM,0.8734321277337089,0.7037451980116181,0.8259393161909424,0.8230294480691237,0.712600806451613,0.8923271941296136
