Target,Model,F1_Class_0,F1_Class_1,Precision,Accuracy,Recall,AUC_ROC
Type_of_Food_Allergy_Aromatics,RandomForest,0.9552410173923264,0.10666666666666666,0.8692640295921088,0.915151515151515,0.08333333333333333,0.5674193548387096
Type_of_Food_Allergy_Aromatics,XGBoost,0.934357553366174,0.025,0.8552487594258753,0.8787878787878789,0.03333333333333333,0.549784946236559
Type_of_Food_Allergy_Aromatics,LogisticRegression,0.9149864184727148,0.02222222222222222,0.8522163240808958,0.8454545454545453,0.03333333333333333,0.6519713261648745
Type_of_Food_Allergy_Aromatics,SVM,0.7011517298041741,0.15794461644306845,0.8801403698796747,0.5666666666666667,0.6166666666666667,0.6454121863799284
Type_of_Food_Allergy_Cereals_&_Seeds,RandomForest,0.9489487327188939,0.0,0.8421200642791552,0.903030303030303,0.0,0.4171326164874552
Type_of_Food_Allergy_Cereals_&_Seeds,XGBoost,0.9349849223137167,0.0,0.8399225021475754,0.8787878787878789,0.0,0.404336917562724
Type_of_Food_Allergy_Cereals_&_Seeds,LogisticRegression,0.9166541604247174,0.06190476190476191,0.847612472835195,0.8484848484848484,0.06666666666666667,0.5113620071684588
Type_of_Food_Allergy_Cereals_&_Seeds,SVM,0.5596776242007356,0.14483357383357384,0.8547677123281266,0.4303030303030303,0.6166666666666667,0.5123655913978494
Type_of_Food_Allergy_Egg,RandomForest,0.9053296374171984,0.1472222222222222,0.8002224380376873,0.8303030303030303,0.12,0.6057389162561577
Type_of_Food_Allergy_Egg,XGBoost,0.9174338976663376,0.23761904761904762,0.820492220593027,0.8515151515151516,0.195,0.6647044334975369
Type_of_Food_Allergy_Egg,LogisticRegression,0.8866307725106827,0.22754689754689755,0.8073858774878426,0.803030303030303,0.24000000000000005,0.6289901477832511
Type_of_Food_Allergy_Egg,SVM,0.8419780183681486,0.21210084033613447,0.7991308837361469,0.7515151515151515,0.28,0.5370443349753695
Type_of_Food_Allergy_Fish,RandomForest,0.9337559417639906,0.2604761904761904,0.8550058132646109,0.8787878787878787,0.19166666666666665,0.5580268199233716
Type_of_Food_Allergy_Fish,XGBoost,0.9083808485485398,0.21103174603174604,0.8327069950658661,0.8363636363636363,0.19166666666666665,0.534712643678161
Type_of_Food_Allergy_Fish,LogisticRegression,0.8992355990617835,0.13214285714285715,0.809800156739812,0.8212121212121211,0.125,0.6150191570881226
Type_of_Food_Allergy_Fish,SVM,0.6137075083602846,0.22379457562523924,0.8350357365633189,0.4878787878787879,0.6583333333333333,0.5584961685823754
Type_of_Food_Allergy_Fruits_and_Vegetables,RandomForest,0.815644855471195,0.3839651722546459,0.7107063162835277,0.7181818181818183,0.35833333333333334,0.67175
Type_of_Food_Allergy_Fruits_and_Vegetables,XGBoost,0.8233355330521178,0.42429630826689646,0.7210736070156359,0.7303030303030303,0.40555555555555556,0.7117777777777778
Type_of_Food_Allergy_Fruits_and_Vegetables,LogisticRegression,0.7699986948901995,0.36901710724775744,0.6861429148193855,0.6666666666666667,0.3916666666666667,0.6628888888888889
Type_of_Food_Allergy_Fruits_and_Vegetables,SVM,0.603119541752106,0.3587320564382034,0.652130839147093,0.5121212121212121,0.5638888888888889,0.5926666666666666
Type_of_Food_Allergy_Mammalian_Milk,RandomForest,0.963736116034503,0.0,0.8932162534435261,0.9303030303030303,0.0,0.7110887096774193
