Target,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,subsample,Best_F1_Score
Allergy_Present,0.8,0,0.2,3,300,0.8,0.9913776980102869
Respiratory_Allergy,0.8,0,0.01,3,100,0.8,0.9958762338742041
Food_Allergy,0.8,1,0.01,7,100,1.0,0.948095251134157
Severe_Allergy,1.0,1,0.1,7,100,0.8,0.9720071449968872
Type_of_Food_Allergy_Other,0.8,0,0.01,3,100,0.8,0.0
Type_of_Respiratory_Allergy_IGE_Pollen_Herb,1.0,1,0.2,7,200,0.8,0.6889246126143984
Type_of_Respiratory_Allergy_IGE_Pollen_Tree,0.8,0,0.01,3,200,0.8,0.9298915227887191
Type_of_Respiratory_Allergy_IGE_Dander_Animals,1.0,1,0.1,5,300,0.8,0.8217987796210894
Type_of_Respiratory_Allergy_IGE_Mite_Cockroach,0.8,1,0.01,5,200,0.8,0.9194917063005933
Type_of_Respiratory_Allergy_IGE_Molds_Yeast,0.8,1,0.2,3,100,0.8,0.8438092575796446
Type_of_Respiratory_Allergy_ARIA,0.8,0,0.2,3,300,0.8,0.9921007874015748
Type_of_Respiratory_Allergy_CONJ,0.8,0,0.01,3,100,0.8,1.0
Type_of_Respiratory_Allergy_IGE_Pollen_Gram,1.0,1,0.2,3,100,1.0,0.902793797716545
Type_of_Respiratory_Allergy_GINA,0.8,1,0.1,3,100,1.0,0.9890744216565952
Type_of_Food_Allergy_Aromatics,0.8,0,0.2,3,100,1.0,0.05714285714285714
Type_of_Food_Allergy_Cereals_&_Seeds,0.8,0,0.2,7,100,0.8,0.05
Type_of_Food_Allergy_Egg,1.0,0,0.2,3,100,1.0,0.28541125541125545
Type_of_Food_Allergy_Fish,1.0,1,0.2,7,100,0.8,0.08444444444444445
Type_of_Food_Allergy_Fruits_and_Vegetables,0.8,0,0.2,3,300,0.8,0.4585306497564562
Type_of_Food_Allergy_Mammalian_Milk,1.0,0,0.2,7,200,1.0,0.08
Type_of_Food_Allergy_Other_Legumes,1.0,0,0.2,3,300,1.0,0.1926190476190476
Type_of_Food_Allergy_Peanut,1.0,0,0.1,7,100,0.8,0.47942611190817785
Type_of_Food_Allergy_Tree_Nuts,0.8,1,0.1,7,200,0.8,0.6007880684188569
